Country Code,gdpp,gdp_growth,income,imports,exports,health,child_mort,total_fer,life_expec,Code,Country Name
JPN,40777.61,0.27,32481.51,17.4,17.36,10.74,2.5,1.36,84.36,JPN,Japan
KAZ,9812.6,4.5,6716.64,28.42,36.44,2.79,10.1,2.9,73.18,KAZ,Kazakhstan
KEN,1912.65,4.98,1492.07,20.3,11.41,4.59,43.0,3.42,66.7,KEN,Kenya
KGZ,1374.03,4.6,1052.88,64.14,35.23,4.49,18.3,3.3,71.6,KGZ,Kyrgyz Republic
KHM,1643.12,7.05,1377.34,62.47,61.09,6.99,26.6,2.48,69.82,KHM,Cambodia
KOR,31936.8,2.24,25779.88,36.48,39.28,8.16,3.1,0.92,83.23,KOR,"Korea, Rep."
LBN,7578.17,-7.16,5952.84,40.71,20.38,8.65,7.2,2.08,78.93,LBN,Lebanon
LKA,3852.27,2.26,3465.81,29.25,23.13,4.08,7.2,2.19,76.98,LKA,Sri Lanka
LSO,1113.37,-0.38,1130.67,94.74,46.24,11.27,90.9,3.11,54.33,LSO,Lesotho
LTU,19575.77,4.57,16504.32,72.05,77.31,7.01,3.6,1.61,76.13,LTU,Lithuania
LUX,113218.71,3.28,60409.15,174.62,205.48,5.37,2.8,1.34,82.45,LUX,Luxembourg
